episod,total_reward
545,20.7676581005
546,20.6609656879
547,20.7381321895
548,20.8972994221
549,20.8666520632
550,20.7791438875
551,20.849315459
552,20.6588776353
553,20.7874515307
554,20.5079462148
555,20.8370488248
556,20.622815451
557,20.91141939
558,20.794568033
559,20.780980646
560,20.6837708606
561,20.7732576229
562,20.8406500283
563,20.8617820037
564,20.7432479208
565,20.688075155
566,20.6955572542
567,20.5362544835
568,20.5740950411
569,20.7816228143
570,20.850853834
571,20.4858137493
572,20.7648663477
573,20.617460948
574,20.8620350801
575,20.7785234351
576,20.7297300206
577,20.6025477904
578,20.7401674493
579,20.7598117276
580,20.9835103401
581,20.6676933069
582,20.821166064
583,20.8824127523
584,20.7288038168
585,20.7139980538
586,20.863790491
587,20.6107061902
588,20.6350809579
589,20.6113039444
590,20.9706014199
591,20.8153358458
592,20.5913860811
593,20.5281808914
594,20.6899344749
595,20.7758269598
596,20.7705733161
597,20.7124228639
598,20.8709742998
599,20.9136729247
600,20.8072192389
601,20.7170055981
602,20.8598094834
603,20.9136626503
604,20.6271914299
605,20.8015525287
606,20.7708773173
607,20.887023973
608,20.8137713381
609,20.9549679111
610,20.755877663
611,21.1085474541
612,20.846236248
613,20.7321270728
614,20.7424830283
615,20.7866129804
616,20.736966969
617,20.6303542796
618,20.8166072643
619,20.7477369667
620,20.7128478213
621,20.6319800678
622,20.7942648466
623,20.6098235021
624,20.6745570717
625,20.5777632577
626,20.5309301991
627,20.6010072717
628,20.8971947128
629,20.6390513868
630,20.635759454
631,20.5510376587
632,20.6427798828
633,20.9067589054
634,20.5955506293
635,20.698773695
636,20.53656106
637,20.653960085
638,20.7786010522
639,20.8331660252
640,20.6793607875
641,20.750223318
642,20.8444431842
643,20.7915439882
644,20.7490313038
645,20.779580173
646,20.7675673755
647,20.6529287122
648,20.7301040891
649,20.4802714012
650,20.5626063771
651,20.8547518342
652,20.7805341215
653,20.5269559533
654,20.8125591235
655,20.7781417351
656,20.7604379993
657,20.5517938694
658,20.8671038076
659,20.9851929429
660,20.8050563122
661,20.6978229155
662,20.8538511348
663,20.6289748711
664,20.7568334525
665,20.7042406306
666,20.6298297925
667,20.896278565
668,20.6802041702
669,20.5967961022
670,20.7535868235
671,20.6806648249
672,20.8079593223
673,20.7167057105
674,20.7626331444
675,20.7599269225
676,20.7604718548
677,20.7470128839
678,20.8493457092
679,20.704028783
680,20.8092596497
681,20.6699829258
682,20.7661107959
683,20.9125602656
684,20.7196297553
685,20.6064206495
686,20.7148768421
687,20.7739070939
688,20.6148807094
689,20.6000379465
690,20.7408991105
691,20.7331452091
692,20.7521544866
693,20.7277974374
694,20.6423154336
695,20.6810396882
696,20.7587619783
697,20.7891507317
698,20.5262592697
699,20.6848117036
700,20.633897933
701,20.6314332373
702,20.9316778138
703,20.8205167413
704,20.5047433827
705,20.6911479348
706,20.4952434795
707,20.6639669264
708,20.738485546
709,20.7901617974
710,20.8704073224
711,20.5939490345
712,20.7447346278
713,20.7732813952
714,20.8181192421
715,20.782213568
716,20.7301749255
717,20.6968132802
718,20.8951580539
719,20.6327288517
720,20.6574109764
721,20.8191075223
722,20.6210361729
723,20.4320105442
724,20.6442490595
725,20.9562769863
726,20.8010534852
727,21.01381438
728,20.6610276257
729,20.6411807657
730,20.6485530504
731,20.6697549495
732,20.7361669321
733,20.5892693852
734,20.7286620894
735,20.8184385001
736,20.7801557076
737,20.7836415647
738,20.5946019662
739,20.6334082824
740,20.7537863927
741,20.5603351064
742,20.8044189672
743,20.667794755
744,20.7145586633
745,20.6010270292
746,20.7341300679
747,20.7146630675
748,20.7321319489
749,20.5920643731
750,20.835835105
751,21.2084008771
752,20.8827165765
753,20.702234646
754,20.8590450656
755,20.6711802662
756,20.825018789
757,20.8000792145
758,20.8521967617
759,20.7150560217
760,20.9499901536
761,21.0451639099
762,20.7884443447
763,20.7473572343
764,20.6942726319
765,20.8457122469
766,20.9318580513
767,20.9235343274
768,20.811147656
769,20.9849550712
770,20.9008346256
771,20.9238208112
772,20.9381358132
773,21.1709884512
774,20.930207258
775,21.1025642103
776,20.8499209115
777,20.9513834114
778,21.1751438164
779,21.0860692052
780,21.0367490574
781,21.0338739847
782,21.0940293889
783,21.0875805367
784,21.1882944297
785,21.007345356
786,21.1499083068
787,21.2278763343
788,20.9420830084
789,21.1019626433
790,21.1776638839
791,21.2333027412
792,21.3057425993
793,21.3801484266
794,21.1391888699
795,21.2645679776
796,21.1020616014
797,21.3870644074
798,21.1682892377
799,21.3472998135
800,21.2589562662
801,21.3244313885
802,21.2404502759
803,21.3024512898
804,21.4345741574
805,21.5592576498
806,21.5841344138
807,21.4725248222
808,21.716282692
809,21.524727224
810,21.6974344165
811,21.7674923999
812,21.8597380938
813,21.7675616967
814,21.9202675888
815,22.0268273847
816,22.0707888637
817,22.1500464971
818,22.3923001683
819,22.2502119422
820,22.4099238853
821,22.8175181499
822,22.6136954379
823,22.757099831
824,22.8561788143
825,23.0107164862
826,22.9837135943
827,23.1406051154
828,23.3697099773
829,23.5707652023
830,23.7498773448
831,23.7663509268
832,23.7888823478
833,24.0140196472
834,24.1391574543
835,24.3066106355
836,24.4133542002
837,24.5790559671
838,24.73597761
839,24.9614926923
840,24.9022972072
841,24.8255803504
842,24.7487344457
843,24.8750357322
844,24.9609451689
845,24.5703028656
846,24.1911341417
847,23.6544513399
848,22.8911941935
849,22.6871523276
850,20.46210622
851,22.2544503993
852,20.7337220585
853,19.4467423161
854,18.584162866
855,20.0827703418
856,19.9728132012
857,19.2544264
858,17.9411479389
859,17.8577237248
860,19.6217936174
861,17.5654435255
862,12.851810116
863,13.1626880056
864,15.5886639149
865,14.2829903892
866,14.9281438919
867,18.464395792
868,10.1854726141
869,11.4609871687
870,14.293439183
871,11.7349554877
872,10.2251515798
873,9.39039027119
874,0.563929661728
875,-11.379480063
876,-34.8068461926
877,-96.9490146889
878,-158.88048335
879,-158.508069592
880,-153.058952052
881,-150.123929412
882,-143.750568451
883,-146.05648593
884,-147.396221687
885,-151.372084903
886,-141.676442305
887,-92.0862546446
888,-75.0733007885
889,-117.332848051
890,-78.4911542151
891,-77.2027366326
892,-103.779121834
893,-63.607838732
894,-75.6435779459
895,-73.4953321484
896,-65.3500769616
897,-87.4594790643
898,-94.3340211213
899,-63.5511921176
900,-68.7202964803
901,-66.0147794644
902,-72.0202482829
903,-73.8749348412
904,-56.1830420297
905,-69.5020672155
906,-71.1327008977
907,-58.1856683899
908,-71.5962355211
909,-55.9930484193
910,-54.0081891833
911,-59.096204813
912,-58.2146493943
913,-55.222057443
914,-74.3846483022
915,-52.2110992544
916,-63.4810972192
917,-32.0690488211
918,-49.916304723
919,-51.153132876
920,-34.4472988348
921,-44.5573163746
922,-39.7312643637
923,-27.6167578506
924,-14.9937743567
925,-7.57939971169
926,13.8325590978
927,1.24477913364
928,17.5362895064
929,19.5553260604
930,22.82679917
931,22.9061716172
932,20.4653272527
933,20.1489907943
934,20.4051928511
935,20.5420480219
936,20.688196652
937,20.57022513
938,20.7739643069
939,20.8684386947
940,20.7137453848
941,20.5560084087
942,20.7301258018
943,20.5795841176
944,20.5505433244
945,20.7227778301
946,20.6781044965
947,20.7005682323
948,20.8386052152
949,20.7766210116
950,20.6293251628
951,20.7431445518
952,20.9321373037
953,20.5171262309
954,20.7900601024
955,20.7355827639
956,20.8093393828
957,20.5350800002
958,20.6968322295
